"Years" "conference" "offName" "school" "Division" "offName"
1977 "Division I Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I" "University of South Carolina-Columbia"
1978 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1979 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1980 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1981 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1982 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1983 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1984 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1985 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1986 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1987 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1988 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1989 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1990 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1991 "Division I-A Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1992 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1993 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1994 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1995 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1996 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1997 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1998 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1999 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2000 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2001 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2002 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2003 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2004 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2005 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2006 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2007 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2008 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2009 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2010 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2011 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
2012 "Southeastern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I-A" "University of South Carolina-Columbia"
1997 "Division I-AA Independent" "University of South Florida" "South Florida" "NCAA Division I-AA" "University of South Florida"
1998 "Division I-AA Independent" "University of South Florida" "South Florida" "NCAA Division I-AA" "University of South Florida"
1999 "Division I-AA Independent" "University of South Florida" "South Florida" "NCAA Division I-AA" "University of South Florida"
2000 "Division I-AA Independent" "University of South Florida" "South Florida" "NCAA Division I-AA" "University of South Florida"
2001 "Division I-A Independent" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2002 "Division I-A Independent" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2003 "Conference USA" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2004 "Conference USA" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2005 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2006 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2007 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2008 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2009 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2010 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2011 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
2012 "Big East Conference" "University of South Florida" "South Florida" "NCAA Division I-A" "University of South Florida"
1888 "Independent" "University of Southern California" "Southern California" NA NA
1889 "Independent" "University of Southern California" "Southern California" NA NA
1890 "Independent" "University of Southern California" "Southern California" NA NA
1891 "Independent" "University of Southern California" "Southern California" NA NA
1892 "Independent" "University of Southern California" "Southern California" NA NA
1893 "Independent" "University of Southern California" "Southern California" NA NA
1894 "Independent" "University of Southern California" "Southern California" NA NA
1895 "Independent" "University of Southern California" "Southern California" NA NA
1896 "Independent" "University of Southern California" "Southern California" NA NA
1897 "Independent" "University of Southern California" "Southern California" NA NA
1898 "Independent" "University of Southern California" "Southern California" NA NA
1899 "Independent" "University of Southern California" "Southern California" NA NA
1900 "Independent" "University of Southern California" "Southern California" NA NA
1901 "Independent" "University of Southern California" "Southern California" NA NA
1902 "Independent" "University of Southern California" "Southern California" NA NA
1903 "Independent" "University of Southern California" "Southern California" NA NA
1904 "Independent" "University of Southern California" "Southern California" NA NA
1905 "Independent" "University of Southern California" "Southern California" NA NA
1906 "Independent" "University of Southern California" "Southern California" NA NA
1907 "Independent" "University of Southern California" "Southern California" NA NA
1908 "Independent" "University of Southern California" "Southern California" NA NA
1909 "Independent" "University of Southern California" "Southern California" NA NA
1910 "Independent" "University of Southern California" "Southern California" NA NA
